City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
606,Chuy,UY,75.25,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
608,Valparaiso,CL,67.64,clear sky,-33.0393,-71.6273,Hotel Ultramar
611,Port Shepstone,ZA,77.76,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
612,Qui Nhon,VN,71.98,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
617,Galle,LK,74.08,clear sky,6.0367,80.217,Amangalla
619,Victoria Point,AU,79.92,overcast clouds,-27.5833,153.3,Bay Retreat Motel
620,Awassa,ET,67.19,overcast clouds,7.05,38.4667,ፓራዳይስ ሆቴል ሀዋሳ / Paradise Hotel Hawassa
624,Ampanihy,MG,74.21,clear sky,-24.7,44.75,Angora Hotel
628,Antofagasta,CL,72.21,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
629,Hinatuan,PH,75.24,overcast clouds,8.3722,126.3342,Villa Juanita Hinatuan
632,Sambava,MG,77.86,scattered clouds,-14.2667,50.1667,Melrose
635,Sulangan,PH,79.93,overcast clouds,11.1373,123.7228,Maia's Beach Resort
638,Marsh Harbour,BS,68.22,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
645,Charters Towers,AU,77.52,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
648,Honiara,SB,78.17,heavy intensity rain,-9.4333,159.95,Heritage Park Hotel
653,Farafangana,MG,75.52,clear sky,-22.8167,47.8333,Miarina
658,Key West,US,75.2,broken clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
660,Taltal,CL,69.33,few clouds,-25.4,-70.4833,Residencial Karime
666,Vanimo,PG,76.37,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
671,Talladega,US,66.69,clear sky,33.4359,-86.1058,"Holiday Inn Express & Suites Talladega, an IHG Hotel"
676,Iralaya,HN,79.9,clear sky,15.0,-83.2333,Iglesia morava renovada
678,Byron Bay,AU,79.88,overcast clouds,-28.65,153.6167,Backpackers Inn
680,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
681,Sur,OM,73.53,clear sky,22.5667,59.5289,Sur Plaza Hotel
686,Kutum,SD,60.82,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
687,Am Timan,TD,78.06,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
688,Bosaso,SO,76.87,broken clouds,11.2842,49.1816,Red Sea Hotel
696,Ahipara,NZ,69.53,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
699,Cayenne,GF,78.84,light rain,4.9333,-52.3333,Hôtel Le Dronmi
